max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,mean_cv_score
80,4,2,6,100,0.5714285714285714,0.7777777777777777
80,4,2,6,200,0.5714285714285714,0.7037037037037037
80,4,2,6,300,0.5714285714285714,0.7037037037037037
80,4,2,6,500,0.7142857142857143,0.7037037037037037
80,4,2,6,1000,0.7142857142857143,0.7037037037037037
80,4,2,6,2000,0.7142857142857143,0.7037037037037037
80,4,2,8,100,0.5714285714285714,0.7407407407407407
80,4,2,8,200,0.5714285714285714,0.7407407407407407
80,4,2,8,300,0.5714285714285714,0.7037037037037037
80,4,2,8,500,0.5714285714285714,0.7037037037037037
80,4,2,8,1000,0.5714285714285714,0.7037037037037037
80,4,2,8,2000,0.5714285714285714,0.7037037037037037
80,4,2,10,100,0.5714285714285714,0.7407407407407407
80,4,2,10,200,0.5714285714285714,0.6296296296296295
80,4,2,10,300,0.5714285714285714,0.6666666666666666
80,4,2,10,500,0.5714285714285714,0.6296296296296295
80,4,2,10,1000,0.5714285714285714,0.6296296296296295
80,4,2,10,2000,0.5714285714285714,0.6296296296296295
80,4,2,12,100,0.5714285714285714,0.6759259259259259
80,4,2,12,200,0.5714285714285714,0.6666666666666666
80,4,2,12,300,0.5714285714285714,0.6666666666666666
80,4,2,12,500,0.5714285714285714,0.6666666666666666
80,4,2,12,1000,0.5714285714285714,0.6666666666666666
80,4,2,12,2000,0.5714285714285714,0.6666666666666666
80,4,3,6,100,0.5714285714285714,0.7129629629629629
80,4,3,6,200,0.5714285714285714,0.7037037037037037
80,4,3,6,300,0.5714285714285714,0.7037037037037037
80,4,3,6,500,0.5714285714285714,0.7037037037037037
80,4,3,6,1000,0.5714285714285714,0.7037037037037037
80,4,3,6,2000,0.5714285714285714,0.7037037037037037
80,4,3,8,100,0.5714285714285714,0.7037037037037037
80,4,3,8,200,0.5714285714285714,0.6666666666666665
80,4,3,8,300,0.5714285714285714,0.6666666666666665
80,4,3,8,500,0.5714285714285714,0.6666666666666665
80,4,3,8,1000,0.5714285714285714,0.6666666666666665
80,4,3,8,2000,0.5714285714285714,0.7037037037037037
80,4,3,10,100,0.5714285714285714,0.7407407407407407
80,4,3,10,200,0.5714285714285714,0.6296296296296295
80,4,3,10,300,0.5714285714285714,0.6666666666666665
80,4,3,10,500,0.5714285714285714,0.6296296296296295
80,4,3,10,1000,0.5714285714285714,0.6296296296296295
80,4,3,10,2000,0.5714285714285714,0.6296296296296295
80,4,3,12,100,0.5714285714285714,0.6759259259259259
80,4,3,12,200,0.5714285714285714,0.6666666666666666
80,4,3,12,300,0.5714285714285714,0.6666666666666666
80,4,3,12,500,0.5714285714285714,0.6666666666666666
80,4,3,12,1000,0.5714285714285714,0.6666666666666666
80,4,3,12,2000,0.5714285714285714,0.6666666666666666
